,BuyerId,SellerId,Weights
0,fzfqu.wam,jp2b4.wam,51
1,5e1rs.wam,vb2r.wam,43
2,5e1rs.wam,dj4b2.wam,40
3,jp2b4.wam,u1ibq.wam,40
4,j2qau.wam,5e1rs.wam,37
5,susay.wam,lhhqu.wam,32
6,5e1rs.wam,5fvbg.wam,31
7,lynqk.wam,5qxre.wam,30
8,u3dr2.wam,g1sbo.wam,30
9,v1yqu.wam,bmwr.wam,26
10,lynqk.wam,u1ibq.wam,25
11,k1ara.wam,jp2b4.wam,25
12,izlbg.wam,ls3bm.wam,24
13,wyiqy.wam,xvjb.wam,23
14,jftr2.wam,hhyb4.wam,22
15,zzbr4.wam,lhhqu.wam,22
16,jp2b4.wam,a2brg.wam,21
17,jp2b4.wam,jgjbk.wam,21
18,vrub.wam,lhhqu.wam,20
19,gufaw.wam,bmwr.wam,19
20,i.lr2.wam,a2brg.wam,19
21,.rjb.wam,j2qau.wam,19
22,.xdri.wam,j2qau.wam,19
23,j2qau.wam,lhhqu.wam,19
24,izlbg.wam,a2brg.wam,19
25,.eer.wam,lhhqu.wam,18
26,dvhbk.wam,xvjb.wam,18
27,zzbr4.wam,mv1ri.wam,18
28,1o5qw.wam,5qxre.wam,18
29,wkkrm.wam,cotri.wam,18
30,fzfqu.wam,.v.qy.wam,17
31,333b4.wam,lhhqu.wam,17
32,.eer.wam,jloro.wam,17
33,pufb.wam,j2qau.wam,17
34,izlbg.wam,oh5b.wam,17
35,lhhqu.wam,3jrrk.wam,17
36,oh5b.wam,zvob.wam,17
37,gjcbq.wam,akprs.wam,17
38,lynqk.wam,bo.r2.wam,16
39,mcdb2.wam,i3gbm.wam,16
40,1qeb.wam,udzbc.wam,16
41,rprqy.wam,xl3b4.wam,16
42,abfqu.wam,lhhqu.wam,16
43,abfqu.wam,oh5b.wam,16
44,cuer.wam,jp2b4.wam,16
45,sjiau.waa,f1nre.wam,15
46,333b4.wam,tgrqy.wam,15
47,wyiqy.wam,531be.wam,15
48,ls3bm.wam,xdtbg.wam,15
49,4bdau.wam,c2dbc.wam,14
50,rxoqy.wam,lhhqu.wam,14
51,bk1r4.wam,lhhqu.wam,14
52,p2lb.wam,jp2b4.wam,14
53,fxpre.wam,jp2b4.wam,14
54,jp2b4.wam,cotri.wam,14
55,jp2b4.wam,5ywbe.wam,14
56,hrequ.wam,5zcqw.wam,13
57,yypb.wam,j2qau.wam,13
58,kudau.wam,j2qau.wam,13
59,bwrau.wam,kx.rg.wam,13
60,i.lr2.wam,nleri.wam,13
61,.xdri.wam,kstra.wam,13
62,j2qau.wam,2exrk.wam,13
63,j2qau.wam,j3gr.wam,13
64,d1mau.wam,bzkao.wam,13
65,v1yqu.wam,2d.b2.wam,13
66,xvjb.wam,pmmqy.wam,13
67,1wur.wam,kwgr2.wam,13
68,4wqr.wam,rnsa.wam,13
69,r3yra.wam,5xwbe.wam,13
70,5e1rs.wam,lqjbi.wam,13
71,2d.b2.wam,a2brg.wam,13
72,lqjbi.wam,zf5rg.wam,13
73,ovlaw.wam,bk1r4.wam,12
74,sjiau.waa,uzuqu.wam,12
75,2a2be.wam,izlbg.wam,12
