,BuyerId,SellerId,Weights
0,jp2b4.wam,fzfqu.wam,51
1,5e1rs.wam,vb2r.wam,43
2,5e1rs.wam,dj4b2.wam,40
3,jp2b4.wam,u1ibq.wam,40
4,j2qau.wam,5e1rs.wam,37
5,lhhqu.wam,susay.wam,32
6,5e1rs.wam,5fvbg.wam,31
7,lynqk.wam,5qxre.wam,30
8,g1sbo.wam,u3dr2.wam,30
9,v1yqu.wam,bmwr.wam,26
10,u1ibq.wam,lynqk.wam,25
11,jp2b4.wam,k1ara.wam,25
12,ls3bm.wam,izlbg.wam,24
13,xvjb.wam,wyiqy.wam,23
14,hhyb4.wam,jftr2.wam,22
15,lhhqu.wam,zzbr4.wam,22
16,jp2b4.wam,jgjbk.wam,21
17,a2brg.wam,jp2b4.wam,21
18,lhhqu.wam,vrub.wam,20
19,j2qau.wam,.xdri.wam,19
20,bmwr.wam,gufaw.wam,19
21,j2qau.wam,.rjb.wam,19
22,izlbg.wam,a2brg.wam,19
23,a2brg.wam,i.lr2.wam,19
24,lhhqu.wam,j2qau.wam,19
25,cotri.wam,wkkrm.wam,18
26,5qxre.wam,1o5qw.wam,18
27,zzbr4.wam,mv1ri.wam,18
28,dvhbk.wam,xvjb.wam,18
29,lhhqu.wam,.eer.wam,18
30,j2qau.wam,pufb.wam,17
31,.eer.wam,jloro.wam,17
32,lhhqu.wam,333b4.wam,17
33,fzfqu.wam,.v.qy.wam,17
34,izlbg.wam,oh5b.wam,17
35,lhhqu.wam,3jrrk.wam,17
36,gjcbq.wam,akprs.wam,17
37,oh5b.wam,zvob.wam,17
38,rprqy.wam,xl3b4.wam,16
39,abfqu.wam,lhhqu.wam,16
40,lynqk.wam,bo.r2.wam,16
41,jp2b4.wam,cuer.wam,16
42,mcdb2.wam,i3gbm.wam,16
43,oh5b.wam,abfqu.wam,16
44,1qeb.wam,udzbc.wam,16
45,wyiqy.wam,531be.wam,15
46,333b4.wam,tgrqy.wam,15
47,f1nre.wam,sjiau.waa,15
48,xdtbg.wam,ls3bm.wam,15
49,lhhqu.wam,rxoqy.wam,14
50,4bdau.wam,c2dbc.wam,14
51,jp2b4.wam,p2lb.wam,14
52,jp2b4.wam,cotri.wam,14
53,jp2b4.wam,5ywbe.wam,14
54,jp2b4.wam,fxpre.wam,14
55,lhhqu.wam,bk1r4.wam,14
56,r3yra.wam,5xwbe.wam,13
57,5e1rs.wam,lqjbi.wam,13
58,.xdri.wam,kstra.wam,13
59,2d.b2.wam,v1yqu.wam,13
60,j2qau.wam,yypb.wam,13
61,bzkao.wam,d1mau.wam,13
62,lqjbi.wam,zf5rg.wam,13
63,hrequ.wam,5zcqw.wam,13
64,j2qau.wam,j3gr.wam,13
65,rnsa.wam,4wqr.wam,13
66,j2qau.wam,2exrk.wam,13
67,i.lr2.wam,nleri.wam,13
68,a2brg.wam,2d.b2.wam,13
69,1wur.wam,kwgr2.wam,13
70,j2qau.wam,kudau.wam,13
71,xvjb.wam,pmmqy.wam,13
72,bwrau.wam,kx.rg.wam,13
73,oh5b.wam,xwurq.wam,12
74,vz5be.wam,hpub2.wam,12
75,r3yra.wam,5t4r.wam,12
76,nleri.wam,11pre.wam,12
77,bk1r4.wam,ovlaw.wam,12
78,cotri.wam,tzwba.wam,12
79,j2qau.wam,2dlrs.wam,12
80,j2qau.wam,rprqy.wam,12
81,i.lr2.wam,hh4r.wam,12
82,izlbg.wam,gjcbq.wam,12
83,kwgr2.wam,xdtbg.wam,12
84,lh3b.wam,tziqw.wam,12
85,izlbg.wam,aa1be.wam,12
86,izlbg.wam,2a2be.wam,12
87,sjiau.waa,uzuqu.wam,12
88,jp2b4.wam,cb3r2.wam,12
89,fzfqu.wam,4ojbi.wam,12
90,lynqk.wam,rqxr4.wam,12
91,j2qau.wam,m1iri.wam,11
92,xvjb.wam,awjqq.wam,11
93,tz5qs.wam,hhyb4.wam,11
94,rprqy.wam,tnequ.wam,11
95,v1yqu.wam,.rtre.wam,11
96,2d.b2.wam,e23b2.wam,11
97,5e1rs.wam,e5lbi.wam,11
98,izlbg.wam,kznau.wam,11
99,susay.wam,jhx.u.wam,11
100,oh5b.wam,ubyre.wam,11
101,lhhqu.wam,k2xrq.wam,11
102,jp2b4.wam,a2oqw.wam,11
103,5qxre.wam,.3fau.wam,11
104,kwgr2.wam,35qqy.wam,11
105,i.lr2.wam,.pibo.wam,11
106,zvob.wam,wvobe.wam,11
107,lhhqu.wam,njdau.wam,11
108,zvob.wam,r4grk.wam,11
109,lhhqu.wam,rnbb.wam,10
110,humqk.wam,j1caw.wam,10
111,xisk2.wam,kd4b.wam,10
112,r2.pk.wam,mcdb2.wam,10
113,d1mau.wam,wizardx,10
114,susay.wam,ocprg.wam,10
115,wyiqy.wam,ry4qy.wam,10
116,wyiqy.wam,wpvra.wam,10
117,jp2b4.wam,5tsbe.wam,10
118,35qqy.wam,tz5qs.wam,10
119,jp2b4.wam,d.vrg.wam,10
120,v1yqu.wam,vz5be.wam,10
121,yypb.wam,ujbb.wam,10
122,333b4.wam,qdore.wam,10
123,j2qau.wam,pp1b.wam,10
124,gjcbq.wam,vztbe.wam,9
125,hhyb4.wam,mo.r4.wam,9
126,mo.r4.wam,bzkao.wam,9
127,ipw3y.wam,.upro.wam,9
128,5p53o.wam,3daaw.wam,9
129,iihr.wam,2xkrg.wam,9
130,fuwb4.wam,.trre.wam,9
131,lihrg.wam,edrre.wam,9
132,unsmashedmkt,tbqqw.wam,9
133,.ngaw.wam,kb4be.wam,9
134,nhrr2.wam,dtrr2.wam,9
135,dvhbk.wam,x4qaw.wam,9
136,pzabk.wam,j3ebo.wam,9
137,v1yqu.wam,ug1qm.waa,9
138,xvjb.wam,1wur.wam,9
139,v1yqu.wam,.v2ak.wam,9
140,j2qau.wam,d44r2.wam,9
141,v1yqu.wam,ixybw.wam,9
142,susay.wam,g1sbo.wam,9
143,xdtbg.wam,unbaw.wam,9
144,ls3bm.wam,r3yra.wam,9
145,izlbg.wam,vv4be.wam,9
146,jp2b4.wam,weebg.wam,9
147,jp2b4.wam,txwrm.wam,9
148,jp2b4.wam,3toqy.wam,9
149,i.lr2.wam,absqy.wam,9
150,lhhqu.wam,15hbo.wam,9
151,yypb.wam,jgpbq.wam,9
152,susay.wam,v2ybe.wam,9
153,j2qau.wam,ousbo.wam,9
154,j2qau.wam,wpqqy.wam,9
155,5e1rs.wam,intqi.wam,9
156,vb2r.wam,2gbaq.wam,9
157,5fvbg.wam,.kjqy.wam,9
158,rxoqy.wam,mclbs.wam,9
159,wyiqy.wam,hrequ.wam,9
160,jhx.u.wam,hhobi.wam,8
161,g2jaw.wam,nssrs.wam,8
162,mclbs.wam,ohgra.wam,8
163,intqi.wam,hluaw.wam,8
164,aptbq.wam,xoxay.wam,8
165,e5lbi.wam,cadr.wam,8
166,e23b2.wam,f1tra.wam,8
167,hdmba.wam,bwrau.wam,8
168,1vobc.wam,cpsbe.wam,8
169,dljri.wam,cvtau.wam,8
170,cuybe.wam,wzp.c.wam,8
171,33jau.wam,4d45y.wam,8
172,dture.wam,nneau.wam,8
173,kxrqy.wam,twmbc.wam,8
174,gjcbq.wam,uhmro.wam,8
175,m34ro.wam,fjqau.wam,8
176,az1ay.wam,3nvb2.wam,8
177,k2xrq.wam,om1qy.wam,8
178,jp2b4.wam,lybre.wam,8
179,gjcbq.wam,bnwb.wam,8
180,fzfqu.wam,g2jaw.wam,8
181,3jrrk.wam,5ixro.wam,8
182,gjcbq.wam,iflrk.wam,8
183,j2qau.wam,41lqy.wam,8
184,j2qau.wam,pvdau.wam,8
185,j2qau.wam,5c1be.wam,8
186,susay.wam,nhrr2.wam,8
187,lhhqu.wam,31ar4.wam,8
188,jp2b4.wam,crfbe.wam,8
189,cotri.wam,o3.qy.wam,8
190,jp2b4.wam,2aerg.wam,8
191,a2brg.wam,fuwb4.wam,8
192,xdtbg.wam,2g2ro.wam,8
193,kwgr2.wam,eneb.wam,8
194,wyiqy.wam,fgybq.wam,8
195,wyiqy.wam,bbiqu.wam,8
196,xvjb.wam,amuba.wam,8
197,p2lb.wam,tylerglasnow,8
198,5e1rs.wam,lh3b.wam,8
199,2d.b2.wam,ui4bq.wam,8
200,bmwr.wam,fevly.wam,8
201,fxpre.wam,mpmre.wam,8
202,rxoqy.wam,3jpqw.wam,8
203,cotri.wam,v4obq.wam,8
204,v1yqu.wam,noeay.wam,8
205,wkkrm.wam,escbg.wam,8
206,gjcbq.wam,fhfri.wam,8
207,jp2b4.wam,gxkbq.wam,7
208,hieb.wam,xf5bg.wam,7
209,1vobc.wam,xikai.wam,7
210,x1cbs.wam,w3aqy.wam,7
211,ls3bm.wam,bdsb2.wam,7
212,jp2b4.wam,jbmbe.wam,7
